method,workers,bins,N,runtime
baseline,1,10,10000000,0.23020709998672828
baseline,2,10,10000000,0.21316079999087378
baseline,4,10,10000000,0.215491299983114
baseline,8,10,10000000,0.22003649998805486
threading,1,10,10000000,0.21589449999737553
threading,2,10,10000000,0.13517399999545887
threading,4,10,10000000,0.09079899999778718
threading,8,10,10000000,0.07521410001209006
multiprocessing,1,10,10000000,1.0307139999931678
multiprocessing,2,10,10000000,0.964623899984872
multiprocessing,4,10,10000000,0.9301208999822848
multiprocessing,8,10,10000000,1.024676000000909
processpool,1,10,10000000,1.0796871000202373
processpool,2,10,10000000,1.0111093999876175
processpool,4,10,10000000,1.064097499998752
processpool,8,10,10000000,1.231323899992276
asyncio,1,10,10000000,0.20629630002076738
asyncio,2,10,10000000,0.17947020000428893
asyncio,4,10,10000000,0.18314869998721406
asyncio,8,10,10000000,0.17734559997916222
dask,1,10,10000000,0.2167174999776762
dask,2,10,10000000,0.13697540000430308
dask,4,10,10000000,0.09333709999918938
dask,8,10,10000000,0.07524950001970865
numba,1,10,10000000,0.7654860999900848
numba,2,10,10000000,0.10869429999729618
numba,4,10,10000000,0.05575030000181869
numba,8,10,10000000,0.03506100000231527
joblib,1,10,10000000,0.21647039998788387
joblib,2,10,10000000,0.324236699991161
joblib,4,10,10000000,0.3105457999918144
joblib,8,10,10000000,0.3076686999993399
mpire,1,10,10000000,1.1620245999947656
mpire,2,10,10000000,1.1181417000188958
mpire,4,10,10000000,1.2744730999984313
mpire,8,10,10000000,1.5822513999883085
baseline,1,100,10000000,0.22527689998969436
baseline,2,100,10000000,0.22058569997898303
baseline,4,100,10000000,0.22266010000021197
baseline,8,100,10000000,0.21235169999999925
threading,1,100,10000000,0.21391700001549907
threading,2,100,10000000,0.13517490000231192
threading,4,100,10000000,0.0887765999941621
threading,8,100,10000000,0.07252519999747165
multiprocessing,1,100,10000000,1.0403632000088692
multiprocessing,2,100,10000000,0.9119381000055
multiprocessing,4,100,10000000,0.9286367000022437
multiprocessing,8,100,10000000,0.9727227999828756
processpool,1,100,10000000,1.048283000010997
processpool,2,100,10000000,0.9786198000074364
processpool,4,100,10000000,1.0312470000062604
processpool,8,100,10000000,1.164082100003725
asyncio,1,100,10000000,0.19827420002548024
asyncio,2,100,10000000,0.19634209998184815
asyncio,4,100,10000000,0.18208110000705346
asyncio,8,100,10000000,0.1811755000089761
dask,1,100,10000000,0.22358839999651536
dask,2,100,10000000,0.13714249999611638
dask,4,100,10000000,0.09202020001248457
dask,8,100,10000000,0.07525349999195896
numba,1,100,10000000,0.2223235000274144
numba,2,100,10000000,0.12729410000611097
numba,4,100,10000000,0.0557144999911543
numba,8,100,10000000,0.030543600005330518
joblib,1,100,10000000,0.2096206000132952
joblib,2,100,10000000,0.32807400001911446
joblib,4,100,10000000,0.302349299978232
joblib,8,100,10000000,0.29856130000553094
mpire,1,100,10000000,1.1579625000013039
mpire,2,100,10000000,1.1257751999946777
mpire,4,100,10000000,1.2555432000081055
mpire,8,100,10000000,1.4887775999959558
baseline,1,1000,10000000,0.2227790000033565
baseline,2,1000,10000000,0.22714360000099987
baseline,4,1000,10000000,0.22468930002651177
baseline,8,1000,10000000,0.22572079999372363
threading,1,1000,10000000,0.22917279999819584
threading,2,1000,10000000,0.13987030001590028
threading,4,1000,10000000,0.0933309999818448
threading,8,1000,10000000,0.0739653000200633
multiprocessing,1,1000,10000000,0.992548899987014
multiprocessing,2,1000,10000000,0.9367057000054047
multiprocessing,4,1000,10000000,0.917589599994244
multiprocessing,8,1000,10000000,1.0057926999870688
processpool,1,1000,10000000,1.1424472999933641
processpool,2,1000,10000000,1.0226174000126775
processpool,4,1000,10000000,1.0428718000184745
processpool,8,1000,10000000,1.2123465999902692
asyncio,1,1000,10000000,0.2011476999905426
asyncio,2,1000,10000000,0.19744119999813847
asyncio,4,1000,10000000,0.18352449999656528
asyncio,8,1000,10000000,0.18018940000911243
dask,1,1000,10000000,0.23035910000908189
dask,2,1000,10000000,0.14115780001156963
dask,4,1000,10000000,0.09841289999894798
dask,8,1000,10000000,0.073712199984584
numba,1,1000,10000000,0.221826199995121
numba,2,1000,10000000,0.11620779999066144
numba,4,1000,10000000,0.05601980001665652
numba,8,1000,10000000,0.03206529997987673
joblib,1,1000,10000000,0.2092666999960784
joblib,2,1000,10000000,0.34507490001851693
joblib,4,1000,10000000,0.3162002999742981
joblib,8,1000,10000000,0.3164540000143461
mpire,1,1000,10000000,1.0576777999813203
mpire,2,1000,10000000,1.1314780999964569
mpire,4,1000,10000000,1.2362345999863464
mpire,8,1000,10000000,1.512716500001261
